wpm,raw,accuracy,consistency,date,epoch,song,track uri,tempo (bpm),artist genres
135.11,155.1,93.30%,88.54%,18 Feb 2023  08:09,1676736540,no_matches,no_matches,no_matches,no_matches
129.6,148.0,95.68%,82.32%,18 Feb 2023  07:56,1676735760,no_matches,no_matches,no_matches,no_matches
112.8,135.2,92.31%,87.25%,17 Feb 2023  21:17,1676697420,no_matches,no_matches,no_matches,no_matches
115.12,123.12,94.30%,79.83%,17 Feb 2023  19:39,1676691540,no_matches,no_matches,no_matches,no_matches
93.6,104.8,94.81%,73.40%,17 Feb 2023  19:39,1676691540,no_matches,no_matches,no_matches,no_matches
97.53,109.53,91.49%,81.86%,17 Feb 2023  18:58,1676689080,no_matches,no_matches,no_matches,no_matches
97.6,142.4,83.15%,81.57%,17 Feb 2023  15:11,1676675460,no_matches,no_matches,no_matches,no_matches
114.4,114.4,99.31%,77.24%,17 Feb 2023  06:59,1676645940,no_matches,no_matches,no_matches,no_matches
104.73,119.92,94.70%,77.50%,17 Feb 2023  06:35,1676644500,no_matches,no_matches,no_matches,no_matches
115.2,124.0,96.15%,81.16%,16 Feb 2023  17:44,1676598240,no_matches,no_matches,no_matches,no_matches
104.8,110.4,95.00%,78.69%,15 Feb 2023  19:42,1676518920,no_matches,no_matches,no_matches,no_matches
103.13,115.92,92.52%,72.57%,15 Feb 2023  19:21,1676517660,no_matches,no_matches,no_matches,no_matches
112.72,115.92,98.63%,72.83%,15 Feb 2023  18:50,1676515800,no_matches,no_matches,no_matches,no_matches
119.92,122.32,97.42%,81.08%,15 Feb 2023  18:49,1676515740,no_matches,no_matches,no_matches,no_matches
120.0,139.2,92.57%,72.07%,15 Feb 2023  18:49,1676515740,no_matches,no_matches,no_matches,no_matches
130.31,138.31,97.11%,75.71%,15 Feb 2023  18:49,1676515740,no_matches,no_matches,no_matches,no_matches
119.12,127.91,97.50%,84.44%,14 Feb 2023  23:30,1676446200,no_matches,no_matches,no_matches,no_matches
123.92,135.11,95.38%,78.56%,13 Feb 2023  19:45,1676346300,no_matches,no_matches,no_matches,no_matches
104.0,127.2,90.00%,81.35%,11 Feb 2023  21:24,1676179440,no_matches,no_matches,no_matches,no_matches
